asset_id,description,source_url,license,commercial_use_confirmed,evidence_path,status
pexels-video-30166585,stock footage for 'McDonald's restaurant exterior' by Evgenij Mikhailov,https://www.pexels.com/video/modern-mcdonald-s-restaurant-at-night-30166585/,Pexels License (free commercial use),yes,stock_McDonald_s_restaurant_exterior_30166585.mp4,downloaded
pexels-video-3125396,stock footage for 'World map animation' by Pressmaster,https://www.pexels.com/video/virtual-reality-projection-of-the-earth-and-projection-of-distances-of-land-mass-from-one-point-to-another-3125396/,Pexels License (free commercial use),yes,stock_World_map_animation_3125396.mp4,downloaded
pexels-video-32244801,stock footage for 'Construction site building' by Usman AbdulrasheedGambo,https://www.pexels.com/video/construction-worker-securing-scaffolding-cables-32244801/,Pexels License (free commercial use),yes,stock_Construction_site_building_32244801.mp4,downloaded
pexels-video-30282337,stock footage for 'Real estate office' by TR Studio,https://www.pexels.com/video/aerial-view-of-tanveer-associates-building-30282337/,Pexels License (free commercial use),yes,stock_Real_estate_office_30282337.mp4,downloaded
pexels-video-6648429,stock footage for 'Business owner handshake' by cottonbro studio,https://www.pexels.com/video/a-man-and-a-woman-shaking-hands-6648429/,Pexels License (free commercial use),yes,stock_Business_owner_handshake_6648429.mp4,downloaded
pexels-video-38275421,stock footage for 'Fast food restaurant interior' by LayG Traveller,https://www.pexels.com/video/changi-airport-food-court-dining-experience-38275421/,Pexels License (free commercial use),yes,stock_Fast_food_restaurant_interior_38275421.mp4,downloaded
pexels-video-30166585,stock footage for 'McDonald's restaurant exterior' by Evgenij Mikhailov,https://www.pexels.com/video/modern-mcdonald-s-restaurant-at-night-30166585/,Pexels License (free commercial use),yes,stock_McDonald_s_restaurant_exterior_30166585.mp4,downloaded
pexels-video-37284846,stock footage for 'fast food burgers' by Faisal Ibne Kalam,https://www.pexels.com/video/street-food-vendor-preparing-juicy-burgers-37284846/,Pexels License (free commercial use),yes,stock_fast_food_burgers_37284846.mp4,downloaded
pexels-video-3125427,stock footage for 'global map animation' by Pressmaster,https://www.pexels.com/video/digital-projection-of-geometrical-distance-of-earth-s-land-mass-end-points-3125427/,Pexels License (free commercial use),yes,stock_global_map_animation_3125427.mp4,downloaded
pexels-video-8598737,stock footage for 'commercial construction site' by Site Engine,https://www.pexels.com/video/excavator-at-construction-in-city-8598737/,Pexels License (free commercial use),yes,stock_commercial_construction_site_8598737.mp4,downloaded
pexels-video-7646750,stock footage for 'real estate contract' by Alena Darmel,https://www.pexels.com/video/person-holding-pen-and-papers-7646750/,Pexels License (free commercial use),yes,stock_real_estate_contract_7646750.mp4,downloaded
pexels-video-8421652,stock footage for 'small business owner' by Kampus Production,https://www.pexels.com/video/salesperson-looking-at-camera-8421652/,Pexels License (free commercial use),yes,stock_small_business_owner_8421652.mp4,downloaded
pexels-video-30166585,stock footage for 'McDonald's restaurant exterior' by Evgenij Mikhailov,https://www.pexels.com/video/modern-mcdonald-s-restaurant-at-night-30166585/,Pexels License (free commercial use),yes,stock_McDonald_s_restaurant_exterior_30166585.mp4,downloaded
pexels-video-31913477,stock footage for 'Golden arches sign' by Abdelmoughit  LAHBABI,https://www.pexels.com/video/iconic-view-of-arc-de-triomphe-in-paris-sunset-31913477/,Pexels License (free commercial use),yes,stock_Golden_arches_sign_31913477.mp4,downloaded
pexels-video-7367890,stock footage for 'Burger cooking grill' by K,https://www.pexels.com/video/grilling-hamburger-over-a-charcoal-flame-7367890/,Pexels License (free commercial use),yes,stock_Burger_cooking_grill_7367890.mp4,downloaded
pexels-video-12188718,stock footage for 'Restaurant dining area' by utopia 36,https://www.pexels.com/video/elegant-chairs-and-tables-in-restaurant-12188718/,Pexels License (free commercial use),yes,stock_Restaurant_dining_area_12188718.mp4,downloaded
pexels-video-6648429,stock footage for 'Business owner handshake' by cottonbro studio,https://www.pexels.com/video/a-man-and-a-woman-shaking-hands-6648429/,Pexels License (free commercial use),yes,stock_Business_owner_handshake_6648429.mp4,downloaded
pexels-video-18484700,stock footage for 'Commercial real estate' by Stock Videos of Moldova by Codebase.Media,https://www.pexels.com/video/a-tall-building-with-a-reflection-of-a-building-18484700/,Pexels License (free commercial use),yes,stock_Commercial_real_estate_18484700.mp4,downloaded
pexels-video-36337618,stock footage for 'Golden arches exterior' by SHOX ART,https://www.pexels.com/video/urban-traffic-scene-under-historic-archway-36337618/,Pexels License (free commercial use),yes,stock_Golden_arches_exterior_36337618.mp4,downloaded
pexels-video-8879803,stock footage for 'McDonalds french fries' by Ron Lach,https://www.pexels.com/video/close-up-of-french-fries-in-a-strainer-8879803/,Pexels License (free commercial use),yes,stock_McDonalds_french_fries_8879803.mp4,downloaded
pexels-video-10161871,stock footage for 'Busy drive-thru' by Alan W,https://www.pexels.com/video/time-lapse-footage-of-moving-vehicles-on-the-road-at-night-10161871/,Pexels License (free commercial use),yes,stock_Busy_drive_thru_10161871.mp4,downloaded
pexels-video-7429346,stock footage for 'World map pins' by Monstera Production,https://www.pexels.com/video/person-holding-a-string-art-7429346/,Pexels License (free commercial use),yes,stock_World_map_pins_7429346.mp4,downloaded
pexels-video-18484700,stock footage for 'Commercial real estate' by Stock Videos of Moldova by Codebase.Media,https://www.pexels.com/video/a-tall-building-with-a-reflection-of-a-building-18484700/,Pexels License (free commercial use),yes,stock_Commercial_real_estate_18484700.mp4,downloaded
pexels-video-28823325,stock footage for 'Construction site crane' by Sururi Ballıdağ Director,https://www.pexels.com/video/sunset-over-construction-site-with-crane-28823325/,Pexels License (free commercial use),yes,stock_Construction_site_crane_28823325.mp4,downloaded
pexels-video-4404085,stock footage for 'Golden arches exterior' by K,https://www.pexels.com/video/close-up-shot-of-the-mcdonald-s-signage-4404085/,Pexels License (free commercial use),yes,stock_Golden_arches_exterior_4404085.mp4,downloaded
pexels-video-8880956,stock footage for 'French fries sizzle' by Ron Lach,https://www.pexels.com/video/close-up-shot-of-cooking-french-fries-8880956/,Pexels License (free commercial use),yes,stock_French_fries_sizzle_8880956.mp4,downloaded
pexels-video-27878716,stock footage for 'Fast food interior' by Mossan Cat,https://www.pexels.com/video/a-counter-with-a-display-of-food-items-27878716/,Pexels License (free commercial use),yes,stock_Fast_food_interior_27878716.mp4,downloaded
pexels-video-4253729,stock footage for 'Cheeseburger assembly line' by cottonbro studio,https://www.pexels.com/video/a-man-is-cutting-a-burger-on-a-wooden-cutting-board-4253729/,Pexels License (free commercial use),yes,stock_Cheeseburger_assembly_line_4253729.mp4,downloaded
pexels-video-7417530,stock footage for 'Missing puzzle piece' by cottonbro studio,https://www.pexels.com/video/women-solving-a-jigsaw-puzzle-while-sitting-on-the-floor-7417530/,Pexels License (free commercial use),yes,stock_Missing_puzzle_piece_7417530.mp4,downloaded
pexels-video-6474187,stock footage for 'Empire foundations cracked' by Tima Miroshnichenko,https://www.pexels.com/video/close-up-video-of-a-bricks-6474187/,Pexels License (free commercial use),yes,stock_Empire_foundations_cracked_6474187.mp4,downloaded
pexels-video-4824784,stock footage for 'Complex gears turning' by emirkhan bal,https://www.pexels.com/video/close-up-view-of-rotating-cogwheels-4824784/,Pexels License (free commercial use),yes,stock_Complex_gears_turning_4824784.mp4,downloaded
pexels-video-855617,stock footage for 'Beyond golden arches' by Pixabay,https://www.pexels.com/video/video-of-sea-of-clouds-during-sunrise-855617/,Pexels License (free commercial use),yes,stock_Beyond_golden_arches_855617.mp4,downloaded
pexels-video-30166585,stock footage for 'Many McDonald's locations' by Evgenij Mikhailov,https://www.pexels.com/video/modern-mcdonald-s-restaurant-at-night-30166585/,Pexels License (free commercial use),yes,stock_Many_McDonald_s_locations_30166585.mp4,downloaded
pexels-video-7429967,stock footage for 'World map locations' by Monstera Production,https://www.pexels.com/video/video-of-a-word-map-7429967/,Pexels License (free commercial use),yes,stock_World_map_locations_7429967.mp4,downloaded
pexels-video-9186994,stock footage for 'Footprint in sand' by ROMAN ODINTSOV,https://www.pexels.com/video/person-walking-on-the-shore-9186994/,Pexels License (free commercial use),yes,stock_Footprint_in_sand_9186994.mp4,downloaded
pexels-video-5896119,stock footage for 'Local business owners' by Gustavo Fring,https://www.pexels.com/video/woman-holding-a-thank-you-for-shopping-local-5896119/,Pexels License (free commercial use),yes,stock_Local_business_owners_5896119.mp4,downloaded
pexels-video-7317045,stock footage for 'Corporate office building' by MART  PRODUCTION,https://www.pexels.com/video/glass-panel-windows-on-the-building-exterior-7317045/,Pexels License (free commercial use),yes,stock_Corporate_office_building_7317045.mp4,downloaded
pexels-video-6930831,stock footage for 'Entrepreneur shaking hands' by Mikhail Nilov,https://www.pexels.com/video/person-shaking-the-hand-of-a-man-6930831/,Pexels License (free commercial use),yes,stock_Entrepreneur_shaking_hands_6930831.mp4,downloaded
pexels-video-37296040,stock footage for 'Burgers fries cooking' by Mihman Duğanlı,https://www.pexels.com/video/close-up-of-burgers-cooking-on-a-griddle-37296040/,Pexels License (free commercial use),yes,stock_Burgers_fries_cooking_37296040.mp4,downloaded
pexels-video-6689582,stock footage for 'Strategic chessboard move' by Tima Miroshnichenko,https://www.pexels.com/video/people-playing-chess-6689582/,Pexels License (free commercial use),yes,stock_Strategic_chessboard_move_6689582.mp4,downloaded
pexels-video-6278980,stock footage for 'Golden arches shimmering' by www.kaboompics.com,https://www.pexels.com/video/close-up-video-of-sequins-6278980/,Pexels License (free commercial use),yes,stock_Golden_arches_shimmering_6278980.mp4,downloaded
pexels-video-8880956,stock footage for 'French fries sizzle' by Ron Lach,https://www.pexels.com/video/close-up-shot-of-cooking-french-fries-8880956/,Pexels License (free commercial use),yes,stock_French_fries_sizzle_8880956.mp4,downloaded
pexels-video-37284846,stock footage for 'Fast food burgers' by Faisal Ibne Kalam,https://www.pexels.com/video/street-food-vendor-preparing-juicy-burgers-37284846/,Pexels License (free commercial use),yes,stock_Fast_food_burgers_37284846.mp4,downloaded
pexels-video-13767676,stock footage for 'Cheeseburger Big Mac' by Miguel Á. Padriñán,https://www.pexels.com/video/digital-animation-of-a-hamburger-13767676/,Pexels License (free commercial use),yes,stock_Cheeseburger_Big_Mac_13767676.mp4,downloaded
pexels-video-9786232,stock footage for 'Puzzle pieces fitting' by Ron Lach,https://www.pexels.com/video/people-holding-a-puzzle-pieces-9786232/,Pexels License (free commercial use),yes,stock_Puzzle_pieces_fitting_9786232.mp4,downloaded
pexels-video-36722439,stock footage for 'Corporate skyscraper building' by Zulfugar Karimov,https://www.pexels.com/video/modern-skyscraper-amidst-urban-nature-36722439/,Pexels License (free commercial use),yes,stock_Corporate_skyscraper_building_36722439.mp4,downloaded
pexels-video-5920146,stock footage for 'Restaurant menu board' by Kampus Production,https://www.pexels.com/video/food-truck-vendor-writing-on-the-menu-board-5920146/,Pexels License (free commercial use),yes,stock_Restaurant_menu_board_5920146.mp4,downloaded
pexels-video-8387491,stock footage for 'Globe map dots' by Oleg Gamulinskii,https://www.pexels.com/video/a-futuristic-screen-with-a-blue-background-and-a-blue-circle-8387491/,Pexels License (free commercial use),yes,stock_Globe_map_dots_8387491.mp4,downloaded
pexels-video-7168738,stock footage for 'Global city skylines' by Tima Miroshnichenko,https://www.pexels.com/video/exterior-view-of-skyscrapers-in-dubai-7168738/,Pexels License (free commercial use),yes,stock_Global_city_skylines_7168738.mp4,downloaded
pexels-video-2431225,stock footage for 'Restaurant exterior day' by K,https://www.pexels.com/video/a-hanging-sign-board-2431225/,Pexels License (free commercial use),yes,stock_Restaurant_exterior_day_2431225.mp4,downloaded
pexels-video-5896119,stock footage for 'Local business owner' by Gustavo Fring,https://www.pexels.com/video/woman-holding-a-thank-you-for-shopping-local-5896119/,Pexels License (free commercial use),yes,stock_Local_business_owner_5896119.mp4,downloaded
pexels-video-8426047,stock footage for 'Business handshake agreement' by Kampus Production,https://www.pexels.com/video/business-people-doing-handshake-8426047/,Pexels License (free commercial use),yes,stock_Business_handshake_agreement_8426047.mp4,downloaded
pexels-video-37296040,stock footage for 'Burger flipping grill' by Mihman Duğanlı,https://www.pexels.com/video/close-up-of-burgers-cooking-on-a-griddle-37296040/,Pexels License (free commercial use),yes,stock_Burger_flipping_grill_37296040.mp4,downloaded
pexels-video-37130586,stock footage for 'Franchise business model' by K,https://www.pexels.com/video/busy-airport-starbucks-with-customer-queues-37130586/,Pexels License (free commercial use),yes,stock_Franchise_business_model_37130586.mp4,downloaded
pexels-video-33366862,stock footage for 'Land plot map' by Toàn BDS,https://www.pexels.com/video/aerial-view-of-lush-green-agricultural-fields-33366862/,Pexels License (free commercial use),yes,stock_Land_plot_map_33366862.mp4,downloaded
pexels-video-3150389,stock footage for 'Traffic flow map' by K,https://www.pexels.com/video/traffic-flow-of-a-three-way-junction-3150389/,Pexels License (free commercial use),yes,stock_Traffic_flow_map_3150389.mp4,downloaded
pexels-video-31913477,stock footage for 'Golden arches logo' by Abdelmoughit  LAHBABI,https://www.pexels.com/video/iconic-view-of-arc-de-triomphe-in-paris-sunset-31913477/,Pexels License (free commercial use),yes,stock_Golden_arches_logo_31913477.mp4,downloaded
pexels-video-8880956,stock footage for 'French fries sizzling' by Ron Lach,https://www.pexels.com/video/close-up-shot-of-cooking-french-fries-8880956/,Pexels License (free commercial use),yes,stock_French_fries_sizzling_8880956.mp4,downloaded
pexels-video-4731062,stock footage for 'Fast food burger' by Artem Podrez,https://www.pexels.com/video/person-sitting-on-a-table-with-food-4731062/,Pexels License (free commercial use),yes,stock_Fast_food_burger_4731062.mp4,downloaded
pexels-video-8588704,stock footage for 'Many cheeseburgers' by Towfiqu barbhuiya,https://www.pexels.com/video/a-delicious-hamburger-on-a-paper-wrapper-8588704/,Pexels License (free commercial use),yes,stock_Many_cheeseburgers_8588704.mp4,downloaded
pexels-video-9786232,stock footage for 'Business puzzle pieces' by Ron Lach,https://www.pexels.com/video/people-holding-a-puzzle-pieces-9786232/,Pexels License (free commercial use),yes,stock_Business_puzzle_pieces_9786232.mp4,downloaded
pexels-video-4824784,stock footage for 'Complex gears turning' by emirkhan bal,https://www.pexels.com/video/close-up-view-of-rotating-cogwheels-4824784/,Pexels License (free commercial use),yes,stock_Complex_gears_turning_4824784.mp4,downloaded
pexels-video-31471146,stock footage for 'Restaurant exterior night' by Luis Becerra  Fotógrafo,https://www.pexels.com/video/aerial-night-view-of-illuminated-restaurant-building-31471146/,Pexels License (free commercial use),yes,stock_Restaurant_exterior_night_31471146.mp4,downloaded
pexels-video-6100411,stock footage for 'Map dots locations' by KATRIN  BOLOVTSOVA,https://www.pexels.com/video/close-up-shot-of-a-person-putting-pin-on-the-corkboard-6100411/,Pexels License (free commercial use),yes,stock_Map_dots_locations_6100411.mp4,downloaded
pexels-video-7432014,stock footage for 'World map globe' by Monstera Production,https://www.pexels.com/video/person-holding-smartphone-7432014/,Pexels License (free commercial use),yes,stock_World_map_globe_7432014.mp4,downloaded
pexels-video-9306129,stock footage for 'Percentage pie chart' by Monstera Production,https://www.pexels.com/video/graphs-printed-on-papers-and-a-smartphone-9306129/,Pexels License (free commercial use),yes,stock_Percentage_pie_chart_9306129.mp4,downloaded
pexels-video-8421652,stock footage for 'Small business owner' by Kampus Production,https://www.pexels.com/video/salesperson-looking-at-camera-8421652/,Pexels License (free commercial use),yes,stock_Small_business_owner_8421652.mp4,downloaded
pexels-video-8426047,stock footage for 'Local entrepreneur handshake' by Kampus Production,https://www.pexels.com/video/business-people-doing-handshake-8426047/,Pexels License (free commercial use),yes,stock_Local_entrepreneur_handshake_8426047.mp4,downloaded
pexels-video-7367890,stock footage for 'Burgers cooking grill' by K,https://www.pexels.com/video/grilling-hamburger-over-a-charcoal-flame-7367890/,Pexels License (free commercial use),yes,stock_Burgers_cooking_grill_7367890.mp4,downloaded
pexels-video-36536382,stock footage for 'Vintage franchise sign' by K,https://www.pexels.com/video/aerial-view-of-waffle-house-sign-in-urban-setting-36536382/,Pexels License (free commercial use),yes,stock_Vintage_franchise_sign_36536382.mp4,downloaded
pexels-video-30282198,stock footage for 'Commercial land plot' by TR Studio,https://www.pexels.com/video/aerial-view-of-modern-real-estate-development-30282198/,Pexels License (free commercial use),yes,stock_Commercial_land_plot_30282198.mp4,downloaded
pexels-video-19912796,stock footage for 'Busy street corner' by WeStarMoney  Rec,https://www.pexels.com/video/street-in-toronto-19912796/,Pexels License (free commercial use),yes,stock_Busy_street_corner_19912796.mp4,downloaded
pexels-video-4404085,stock footage for 'Golden arches exterior' by K,https://www.pexels.com/video/close-up-shot-of-the-mcdonald-s-signage-4404085/,Pexels License (free commercial use),yes,stock_Golden_arches_exterior_4404085.mp4,downloaded
pexels-video-19953502,stock footage for 'Drive-thru window' by nathan murphy,https://www.pexels.com/video/fastfood-19953502/,Pexels License (free commercial use),yes,stock_Drive_thru_window_19953502.mp4,downloaded
pexels-video-3120243,stock footage for 'Hands holding burger' by Pressmaster,https://www.pexels.com/video/a-big-bite-on-a-hamburger-sandwich-3120243/,Pexels License (free commercial use),yes,stock_Hands_holding_burger_3120243.mp4,downloaded
pexels-video-35379336,stock footage for 'City skyline commerce' by SÀI GÒN CÔNG TY CP SẢN XUẤT - THƯƠNG MẠI,https://www.pexels.com/video/stunning-night-view-of-saigon-river-skyline-35379336/,Pexels License (free commercial use),yes,stock_City_skyline_commerce_35379336.mp4,downloaded
pexels-video-7429967,stock footage for 'World map locations' by Monstera Production,https://www.pexels.com/video/video-of-a-word-map-7429967/,Pexels License (free commercial use),yes,stock_World_map_locations_7429967.mp4,downloaded
pexels-video-4291727,stock footage for 'Supply chain logistics' by Tiger Lily,https://www.pexels.com/video/men-in-the-warehouse-talking-4291727/,Pexels License (free commercial use),yes,stock_Supply_chain_logistics_4291727.mp4,downloaded
pexels-video-8421652,stock footage for 'Small business owner' by Kampus Production,https://www.pexels.com/video/salesperson-looking-at-camera-8421652/,Pexels License (free commercial use),yes,stock_Small_business_owner_8421652.mp4,downloaded
pexels-video-3246669,stock footage for 'Business strategy meeting' by fauxels,https://www.pexels.com/video/people-in-a-business-meeting-discussing-about-data-and-charts-on-the-table-3246669/,Pexels License (free commercial use),yes,stock_Business_strategy_meeting_3246669.mp4,downloaded
